               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.016982,           0.0085261,          0.00032589,             0.96312,             0.97154,             0.98229,             0.80147,             0.01931,           0.0046899,          0.00042885,            0.005512,            0.005512,            0.005512
                 138,            0.016715,           0.0079033,          0.00048748,             0.98188,             0.94281,             0.98064,             0.79288,            0.020354,           0.0046589,          0.00049572,            0.005479,            0.005479,            0.005479
                 139,            0.016438,            0.008377,          0.00039663,              0.9671,             0.97667,             0.98471,             0.79282,              0.0196,           0.0047173,          0.00034796,            0.005446,            0.005446,            0.005446
                 140,            0.015223,           0.0081973,          0.00051862,             0.95052,             0.97587,             0.98514,              0.8013,            0.019078,           0.0044331,          0.00018267,            0.005413,            0.005413,            0.005413
                 141,            0.016343,            0.008532,          0.00043587,             0.95465,             0.97764,             0.98195,             0.80748,            0.019876,            0.004536,          0.00031687,             0.00538,             0.00538,             0.00538
                 142,            0.016603,           0.0085769,          0.00098256,             0.98268,             0.93049,             0.97793,              0.7798,             0.02125,           0.0049404,          0.00023379,            0.005347,            0.005347,            0.005347
                 143,             0.01649,           0.0083146,          0.00061931,             0.96552,             0.96194,             0.98391,             0.80128,            0.019526,           0.0046153,          0.00029287,            0.005314,            0.005314,            0.005314
                 144,            0.017358,           0.0082102,          0.00036443,             0.96003,             0.95753,             0.97775,              0.8092,             0.01949,           0.0046426,             0.00055,            0.005281,            0.005281,            0.005281
                 145,            0.016996,           0.0082502,          0.00052902,             0.96513,             0.96574,              0.9804,             0.80561,            0.019753,           0.0047223,          0.00065093,            0.005248,            0.005248,            0.005248
                 146,             0.01583,           0.0081189,          0.00048708,             0.95683,             0.96331,             0.98638,              0.8038,            0.020335,            0.004609,          0.00038312,            0.005215,            0.005215,            0.005215
                 147,            0.017251,           0.0082915,          0.00049912,             0.96944,             0.95174,             0.97425,             0.79228,             0.02038,           0.0047407,          0.00048089,            0.005182,            0.005182,            0.005182
                 148,            0.015803,           0.0079979,          0.00044681,             0.96806,             0.96492,             0.98033,             0.79171,            0.020611,           0.0047862,          0.00032681,            0.005149,            0.005149,            0.005149
                 149,            0.015317,           0.0081693,          0.00046977,             0.98132,             0.95032,              0.9773,             0.80055,            0.019543,           0.0045087,          0.00030353,            0.005116,            0.005116,            0.005116
                 150,            0.015907,           0.0077822,          0.00035467,             0.99229,             0.95321,             0.98276,             0.80069,            0.019924,           0.0046947,          0.00065621,            0.005083,            0.005083,            0.005083
                 151,            0.016129,            0.008148,           0.0004147,             0.96595,             0.95802,             0.98417,               0.811,            0.020723,           0.0046399,          0.00069284,             0.00505,             0.00505,             0.00505
                 152,            0.015793,           0.0079419,          0.00021224,             0.97282,             0.96153,             0.97987,             0.80587,            0.021123,            0.004512,          0.00062271,            0.005017,            0.005017,            0.005017
                 153,            0.016364,           0.0078924,          0.00034297,             0.96599,             0.95793,             0.98149,              0.7916,             0.02184,           0.0049018,          0.00061754,            0.004984,            0.004984,            0.004984
                 154,            0.016399,           0.0082421,          0.00058379,             0.96345,             0.96075,             0.97989,             0.79959,            0.020183,           0.0048677,            0.001013,            0.004951,            0.004951,            0.004951
